Training 0.00 %,Trainning accuracy = 18.000001%, loss = 2.2903 
Training 1.50 %,Trainning accuracy = 57.999998%, loss = 1.1143 
Training 1.55 %,Trainning accuracy = 45.999998%, loss = 1.4041 
Training 1.60 %,Trainning accuracy = 43.999997%, loss = 1.3195 
Training 1.65 %,Trainning accuracy = 59.999996%, loss = 1.1579 
Training 1.70 %,Trainning accuracy = 60.000002%, loss = 1.1617 
Training 1.75 %,Trainning accuracy = 56.000000%, loss = 1.2821 
Training 1.80 %,Trainning accuracy = 47.999996%, loss = 1.3620 
Training 1.85 %,Trainning accuracy = 53.999996%, loss = 1.3042 
Training 1.90 %,Trainning accuracy = 50.000000%, loss = 1.4374 
Training 1.95 %,Trainning accuracy = 55.999994%, loss = 1.2121 
Training 2.00 %,Trainning accuracy = 56.000000%, loss = 1.2321 
Training 2.05 %,Trainning accuracy = 57.999998%, loss = 1.2348 
Training 2.10 %,Trainning accuracy = 57.999998%, loss = 1.2135 
Training 2.15 %,Trainning accuracy = 63.999999%, loss = 1.0211 
Training 2.20 %,Trainning accuracy = 35.999995%, loss = 1.3599 
Training 2.25 %,Trainning accuracy = 51.999998%, loss = 1.3733 
Training 2.30 %,Trainning accuracy = 59.999996%, loss = 1.3627 
Training 2.35 %,Trainning accuracy = 56.000000%, loss = 1.3808 
Training 2.40 %,Trainning accuracy = 63.999999%, loss = 1.0615 
Training 2.45 %,Trainning accuracy = 51.999998%, loss = 1.4633 
Training 2.50 %,Trainning accuracy = 57.999998%, loss = 1.2777 
Training 2.55 %,Trainning accuracy = 59.999996%, loss = 1.2000 
Training 2.60 %,Trainning accuracy = 48.000002%, loss = 1.3773 
Training 2.65 %,Trainning accuracy = 63.999999%, loss = 1.1943 
Training 2.70 %,Trainning accuracy = 65.999997%, loss = 1.1761 
Training 2.75 %,Trainning accuracy = 57.999998%, loss = 1.3218 
Training 2.80 %,Trainning accuracy = 53.999996%, loss = 1.2750 
Training 2.85 %,Trainning accuracy = 63.999999%, loss = 1.0136 
Training 2.90 %,Trainning accuracy = 56.000000%, loss = 1.2345 
Training 2.95 %,Trainning accuracy = 59.999996%, loss = 1.1263 
Training 3.00 %,Trainning accuracy = 62.000000%, loss = 1.0400 
Training 3.05 %,Trainning accuracy = 57.999998%, loss = 1.1779 
Training 3.10 %,Trainning accuracy = 54.000002%, loss = 1.1440 
Training 3.15 %,Trainning accuracy = 47.999999%, loss = 1.1797 
Training 3.20 %,Trainning accuracy = 72.000003%, loss = 0.9708 
Training 3.25 %,Trainning accuracy = 59.999996%, loss = 1.1355 
Training 3.30 %,Trainning accuracy = 57.999998%, loss = 1.2237 
Training 3.35 %,Trainning accuracy = 56.000000%, loss = 1.0058 
Training 3.40 %,Trainning accuracy = 57.999998%, loss = 1.1050 
Training 3.45 %,Trainning accuracy = 63.999999%, loss = 1.0742 
Training 3.50 %,Trainning accuracy = 71.999997%, loss = 0.9337 
Training 3.55 %,Trainning accuracy = 69.999999%, loss = 0.9702 
Training 3.60 %,Trainning accuracy = 58.000004%, loss = 1.0782 
Training 3.65 %,Trainning accuracy = 53.999996%, loss = 1.0934 
Training 3.70 %,Trainning accuracy = 51.999998%, loss = 1.2827 
Training 3.75 %,Trainning accuracy = 57.999998%, loss = 0.9644 
Training 3.80 %,Trainning accuracy = 72.000003%, loss = 0.9964 
Training 3.85 %,Trainning accuracy = 77.999997%, loss = 0.8208 
Training 3.90 %,Trainning accuracy = 68.000001%, loss = 1.1008 
Training 3.95 %,Trainning accuracy = 57.999998%, loss = 1.0817 
Training 4.00 %,Trainning accuracy = 57.999998%, loss = 1.0625 
Training 4.05 %,Trainning accuracy = 55.999994%, loss = 1.0144 
Training 4.10 %,Trainning accuracy = 65.999997%, loss = 0.9351 
Training 4.15 %,Trainning accuracy = 53.999996%, loss = 1.3178 
Training 4.20 %,Trainning accuracy = 63.999999%, loss = 1.0773 
Training 4.25 %,Trainning accuracy = 59.999996%, loss = 1.0228 
Training 4.30 %,Trainning accuracy = 57.999998%, loss = 1.2433 
Training 4.35 %,Trainning accuracy = 63.999999%, loss = 1.0061 
Training 4.40 %,Trainning accuracy = 65.999997%, loss = 0.9398 
Training 4.45 %,Trainning accuracy = 65.999997%, loss = 0.9900 
Training 4.50 %,Trainning accuracy = 63.999999%, loss = 0.9780 
Training 4.55 %,Trainning accuracy = 57.999998%, loss = 0.9985 
Training 4.60 %,Trainning accuracy = 55.999994%, loss = 1.0495 
Training 4.65 %,Trainning accuracy = 57.999998%, loss = 1.0058 
Training 4.70 %,Trainning accuracy = 51.999998%, loss = 1.1278 
Training 4.75 %,Trainning accuracy = 70.000005%, loss = 0.7883 
Training 4.80 %,Trainning accuracy = 63.999999%, loss = 0.9553 
Training 4.85 %,Trainning accuracy = 63.999999%, loss = 1.0024 
Training 4.90 %,Trainning accuracy = 69.999999%, loss = 1.0354 
Training 4.95 %,Trainning accuracy = 69.999999%, loss = 0.9470 
Training 5.00 %,Trainning accuracy = 74.000001%, loss = 0.9950 
Training 5.05 %,Trainning accuracy = 71.999997%, loss = 0.8490 
Training 5.10 %,Trainning accuracy = 74.000001%, loss = 0.7674 
Training 5.15 %,Trainning accuracy = 65.999997%, loss = 1.0823 
Training 5.20 %,Trainning accuracy = 69.999993%, loss = 0.8872 
Training 5.25 %,Trainning accuracy = 69.999999%, loss = 0.9642 
Training 5.30 %,Trainning accuracy = 53.999996%, loss = 1.1956 
Training 5.35 %,Trainning accuracy = 75.999999%, loss = 0.7637 
Training 5.40 %,Trainning accuracy = 57.999998%, loss = 1.1720 
Training 5.45 %,Trainning accuracy = 71.999997%, loss = 0.8959 
Training 5.50 %,Trainning accuracy = 63.999999%, loss = 0.8497 
Training 5.55 %,Trainning accuracy = 74.000001%, loss = 0.7395 
Training 5.60 %,Trainning accuracy = 69.999999%, loss = 0.7861 
Training 5.65 %,Trainning accuracy = 68.000001%, loss = 0.9127 
Training 5.70 %,Trainning accuracy = 51.999998%, loss = 1.2872 
Training 5.75 %,Trainning accuracy = 79.999995%, loss = 0.6910 
Training 5.80 %,Trainning accuracy = 67.999995%, loss = 0.8796 
Training 5.85 %,Trainning accuracy = 75.999999%, loss = 0.8796 
Training 5.90 %,Trainning accuracy = 65.999997%, loss = 1.0547 
Training 5.95 %,Trainning accuracy = 65.999997%, loss = 0.9291 
Training 6.00 %,Trainning accuracy = 74.000001%, loss = 0.8346 
Training 6.05 %,Trainning accuracy = 63.999999%, loss = 1.0157 
Training 6.10 %,Trainning accuracy = 79.999995%, loss = 0.7216 
Training 6.15 %,Trainning accuracy = 63.999999%, loss = 1.0802 
Training 6.20 %,Trainning accuracy = 71.999997%, loss = 0.6791 
Training 6.25 %,Trainning accuracy = 65.999997%, loss = 0.9783 
Training 6.30 %,Trainning accuracy = 63.999999%, loss = 1.0224 
Training 6.35 %,Trainning accuracy = 63.999999%, loss = 0.9717 
Training 6.40 %,Trainning accuracy = 63.999999%, loss = 1.0266 
Training 6.45 %,Trainning accuracy = 63.999999%, loss = 1.0375 
Training 6.50 %,Trainning accuracy = 75.999999%, loss = 0.8269 
Training 6.55 %,Trainning accuracy = 57.999998%, loss = 1.2581 
Training 6.60 %,Trainning accuracy = 62.000000%, loss = 0.9845 
Training 6.65 %,Trainning accuracy = 69.999999%, loss = 0.8621 
Training 6.70 %,Trainning accuracy = 69.999999%, loss = 1.0065 
Training 6.75 %,Trainning accuracy = 71.999997%, loss = 0.9696 
Training 6.80 %,Trainning accuracy = 75.999999%, loss = 0.6597 
Training 6.85 %,Trainning accuracy = 74.000001%, loss = 0.7794 
Training 6.90 %,Trainning accuracy = 68.000001%, loss = 0.8031 
Training 6.95 %,Trainning accuracy = 56.000000%, loss = 1.2238 
Training 7.00 %,Trainning accuracy = 74.000001%, loss = 0.7977 
Training 7.05 %,Trainning accuracy = 67.999995%, loss = 0.8873 
Training 7.10 %,Trainning accuracy = 68.000001%, loss = 0.8600 
Training 7.15 %,Trainning accuracy = 81.999999%, loss = 0.6577 
Training 7.20 %,Trainning accuracy = 63.999999%, loss = 0.9620 
Training 7.25 %,Trainning accuracy = 65.999997%, loss = 0.9819 
Training 7.30 %,Trainning accuracy = 59.999996%, loss = 1.0603 
Training 7.35 %,Trainning accuracy = 72.000003%, loss = 0.8062 
Training 7.40 %,Trainning accuracy = 69.999999%, loss = 0.8386 
Training 7.45 %,Trainning accuracy = 74.000001%, loss = 0.9517 
Training 7.50 %,Trainning accuracy = 75.999999%, loss = 0.8121 
Training 7.55 %,Trainning accuracy = 71.999997%, loss = 0.8409 
Training 7.60 %,Trainning accuracy = 75.999999%, loss = 0.7294 
Training 7.65 %,Trainning accuracy = 60.000002%, loss = 0.8647 
Training 7.70 %,Trainning accuracy = 60.000002%, loss = 0.9749 
Training 7.75 %,Trainning accuracy = 68.000001%, loss = 0.7616 
Training 7.80 %,Trainning accuracy = 83.999997%, loss = 0.6560 
Training 7.85 %,Trainning accuracy = 75.999999%, loss = 0.6507 
Training 7.90 %,Trainning accuracy = 67.999995%, loss = 0.7024 
Training 7.95 %,Trainning accuracy = 65.999997%, loss = 0.9719 
Training 8.00 %,Trainning accuracy = 59.999996%, loss = 1.1290 
Training 8.05 %,Trainning accuracy = 81.999999%, loss = 0.6924 
Training 8.10 %,Trainning accuracy = 54.000002%, loss = 1.1053 
Training 8.15 %,Trainning accuracy = 74.000001%, loss = 0.8816 
Training 8.20 %,Trainning accuracy = 67.999995%, loss = 0.8449 
Training 8.25 %,Trainning accuracy = 77.999997%, loss = 0.7445 
Training 8.30 %,Trainning accuracy = 74.000001%, loss = 0.6360 
Training 8.35 %,Trainning accuracy = 71.999997%, loss = 0.6439 
Training 8.40 %,Trainning accuracy = 69.999999%, loss = 0.8388 
Training 8.45 %,Trainning accuracy = 63.999999%, loss = 1.0029 
Training 8.50 %,Trainning accuracy = 79.999995%, loss = 0.5932 
Training 8.55 %,Trainning accuracy = 63.999999%, loss = 0.9117 
Training 8.60 %,Trainning accuracy = 77.999997%, loss = 0.6269 
Training 8.65 %,Trainning accuracy = 74.000001%, loss = 0.8434 
Training 8.70 %,Trainning accuracy = 63.999999%, loss = 0.9557 
Training 8.75 %,Trainning accuracy = 59.999996%, loss = 0.9131 
Training 8.80 %,Trainning accuracy = 68.000001%, loss = 0.9163 
Training 8.85 %,Trainning accuracy = 74.000001%, loss = 0.7085 
Training 8.90 %,Trainning accuracy = 69.999999%, loss = 0.8498 
Training 8.95 %,Trainning accuracy = 68.000001%, loss = 0.9746 
Training 9.00 %,Trainning accuracy = 62.000000%, loss = 0.9738 
Training 9.05 %,Trainning accuracy = 81.999999%, loss = 0.7069 
Training 9.10 %,Trainning accuracy = 65.999997%, loss = 0.7808 
Training 9.15 %,Trainning accuracy = 77.999997%, loss = 0.8136 
Training 9.20 %,Trainning accuracy = 67.999995%, loss = 1.0290 
Training 9.25 %,Trainning accuracy = 67.999995%, loss = 1.1266 
Training 9.30 %,Trainning accuracy = 67.999995%, loss = 0.8147 
Training 9.35 %,Trainning accuracy = 75.999999%, loss = 0.7992 
Training 9.40 %,Trainning accuracy = 77.999997%, loss = 0.6518 
Training 9.45 %,Trainning accuracy = 71.999997%, loss = 0.8350 
Training 9.50 %,Trainning accuracy = 74.000001%, loss = 0.7129 
Training 9.55 %,Trainning accuracy = 74.000001%, loss = 0.6961 
Training 9.60 %,Trainning accuracy = 75.999999%, loss = 0.6331 
Training 9.65 %,Trainning accuracy = 75.999999%, loss = 0.6963 
Training 9.70 %,Trainning accuracy = 80.000001%, loss = 0.7541 
Training 9.75 %,Trainning accuracy = 88.000000%, loss = 0.4552 
Training 9.80 %,Trainning accuracy = 65.999997%, loss = 0.8942 
Training 9.85 %,Trainning accuracy = 65.999997%, loss = 1.1324 
Training 9.90 %,Trainning accuracy = 65.999997%, loss = 0.8877 
Training 9.95 %,Trainning accuracy = 72.000003%, loss = 0.8155 
Training 10.00 %,Trainning accuracy = 75.999999%, loss = 0.6793 
Training 10.05 %,Trainning accuracy = 80.000001%, loss = 0.5798 
Training 10.10 %,Trainning accuracy = 73.999995%, loss = 0.8604 
Training 10.15 %,Trainning accuracy = 74.000001%, loss = 0.6196 
Training 10.20 %,Trainning accuracy = 74.000001%, loss = 0.8032 
Training 10.25 %,Trainning accuracy = 77.999997%, loss = 0.7325 
Training 10.30 %,Trainning accuracy = 79.999995%, loss = 0.5635 
Training 10.35 %,Trainning accuracy = 86.000001%, loss = 0.5264 
Training 10.40 %,Trainning accuracy = 79.999995%, loss = 0.7586 
Training 10.45 %,Trainning accuracy = 77.999997%, loss = 0.6976 
Training 10.50 %,Trainning accuracy = 67.999995%, loss = 0.8477 
Training 10.55 %,Trainning accuracy = 77.999997%, loss = 0.5933 
Training 10.60 %,Trainning accuracy = 75.999999%, loss = 0.6121 
Training 10.65 %,Trainning accuracy = 84.000003%, loss = 0.6034 
Training 10.70 %,Trainning accuracy = 71.999997%, loss = 0.8453 
Training 10.75 %,Trainning accuracy = 72.000003%, loss = 0.7186 
Training 10.80 %,Trainning accuracy = 69.999999%, loss = 0.9480 
Training 10.85 %,Trainning accuracy = 74.000001%, loss = 0.7670 
Training 10.90 %,Trainning accuracy = 74.000001%, loss = 0.7130 
Training 10.95 %,Trainning accuracy = 81.999993%, loss = 0.6630 
Training 11.00 %,Trainning accuracy = 65.999997%, loss = 0.8276 
Training 11.05 %,Trainning accuracy = 62.000000%, loss = 0.8108 
Training 11.10 %,Trainning accuracy = 75.999999%, loss = 0.6941 
Training 11.15 %,Trainning accuracy = 69.999999%, loss = 0.8867 
Training 11.20 %,Trainning accuracy = 78.000003%, loss = 0.9087 
Training 11.25 %,Trainning accuracy = 65.999997%, loss = 0.9575 
Training 11.30 %,Trainning accuracy = 69.999993%, loss = 0.6694 
Training 11.35 %,Trainning accuracy = 75.999999%, loss = 0.6935 
Training 11.40 %,Trainning accuracy = 81.999993%, loss = 0.7061 
Training 11.45 %,Trainning accuracy = 63.999999%, loss = 0.8981 
Training 11.50 %,Trainning accuracy = 75.999999%, loss = 0.6944 
Training 11.55 %,Trainning accuracy = 77.999997%, loss = 0.7095 
Training 11.60 %,Trainning accuracy = 65.999997%, loss = 0.9464 
Training 11.65 %,Trainning accuracy = 68.000001%, loss = 0.8983 
Training 11.70 %,Trainning accuracy = 72.000003%, loss = 0.8684 
Training 11.75 %,Trainning accuracy = 68.000001%, loss = 0.8291 
Training 11.80 %,Trainning accuracy = 80.000001%, loss = 0.6528 
Training 11.85 %,Trainning accuracy = 67.999995%, loss = 0.8940 
Training 11.90 %,Trainning accuracy = 68.000001%, loss = 0.7985 
Training 11.95 %,Trainning accuracy = 75.999999%, loss = 0.9104 
Training 12.00 %,Trainning accuracy = 88.000005%, loss = 0.4973 
Training 12.05 %,Trainning accuracy = 77.999997%, loss = 0.7866 
Training 12.10 %,Trainning accuracy = 74.000001%, loss = 0.7159 
Training 12.15 %,Trainning accuracy = 65.999997%, loss = 0.7451 
Training 12.20 %,Trainning accuracy = 72.000003%, loss = 0.6861 
Training 12.25 %,Trainning accuracy = 69.999993%, loss = 0.7287 
Training 12.30 %,Trainning accuracy = 69.999999%, loss = 0.8035 
Training 12.35 %,Trainning accuracy = 59.999996%, loss = 1.0527 
Training 12.40 %,Trainning accuracy = 83.999997%, loss = 0.6109 
Training 12.45 %,Trainning accuracy = 80.000001%, loss = 0.6226 
Training 12.50 %,Trainning accuracy = 68.000001%, loss = 0.9237 
Training 12.55 %,Trainning accuracy = 65.999997%, loss = 0.9535 
Training 12.60 %,Trainning accuracy = 67.999995%, loss = 0.8315 
Training 12.65 %,Trainning accuracy = 88.000000%, loss = 0.4843 
Training 12.70 %,Trainning accuracy = 69.999999%, loss = 0.7463 
Training 12.75 %,Trainning accuracy = 63.999999%, loss = 0.8780 
Training 12.80 %,Trainning accuracy = 74.000001%, loss = 0.7332 
Training 12.85 %,Trainning accuracy = 75.999999%, loss = 0.7150 
Training 12.90 %,Trainning accuracy = 74.000001%, loss = 0.8423 
Training 12.95 %,Trainning accuracy = 75.999999%, loss = 0.6973 
Training 13.00 %,Trainning accuracy = 75.999999%, loss = 0.7779 
Training 13.05 %,Trainning accuracy = 69.999999%, loss = 0.7641 
Training 13.10 %,Trainning accuracy = 79.999995%, loss = 0.9132 
Training 13.15 %,Trainning accuracy = 71.999997%, loss = 0.8908 
Training 13.20 %,Trainning accuracy = 77.999997%, loss = 0.7987 
Training 13.25 %,Trainning accuracy = 65.999997%, loss = 0.8514 
Training 13.30 %,Trainning accuracy = 74.000001%, loss = 0.6175 
Training 13.35 %,Trainning accuracy = 69.999999%, loss = 0.9099 
Training 13.40 %,Trainning accuracy = 79.999995%, loss = 0.7503 
Training 13.45 %,Trainning accuracy = 77.999997%, loss = 0.6682 
Training 13.50 %,Trainning accuracy = 77.999997%, loss = 0.6964 
Training 13.55 %,Trainning accuracy = 75.999999%, loss = 0.7946 
Training 13.60 %,Trainning accuracy = 69.999999%, loss = 0.9119 
Training 13.65 %,Trainning accuracy = 73.999995%, loss = 0.6224 
Training 13.70 %,Trainning accuracy = 74.000001%, loss = 0.7649 
Training 13.75 %,Trainning accuracy = 77.999997%, loss = 0.6386 
Training 13.80 %,Trainning accuracy = 57.999998%, loss = 0.9295 
Training 13.85 %,Trainning accuracy = 65.999997%, loss = 0.8721 
Training 13.90 %,Trainning accuracy = 67.999995%, loss = 0.7855 
Training 13.95 %,Trainning accuracy = 74.000001%, loss = 0.7125 
Training 14.00 %,Trainning accuracy = 68.000001%, loss = 0.8689 
Training 14.05 %,Trainning accuracy = 75.999999%, loss = 0.7012 
Training 14.10 %,Trainning accuracy = 83.999997%, loss = 0.5530 
Training 14.15 %,Trainning accuracy = 75.999999%, loss = 0.6741 
Training 14.20 %,Trainning accuracy = 81.999993%, loss = 0.6671 
Training 14.25 %,Trainning accuracy = 75.999999%, loss = 0.7409 
Training 14.30 %,Trainning accuracy = 81.999999%, loss = 0.5541 
Training 14.35 %,Trainning accuracy = 84.000003%, loss = 0.6577 
Training 14.40 %,Trainning accuracy = 63.999999%, loss = 1.1114 
Training 14.45 %,Trainning accuracy = 74.000001%, loss = 0.7340 
Training 14.50 %,Trainning accuracy = 77.999997%, loss = 0.6893 
Training 14.55 %,Trainning accuracy = 65.999997%, loss = 0.8305 
Training 14.60 %,Trainning accuracy = 81.999999%, loss = 0.5827 
Training 14.65 %,Trainning accuracy = 69.999999%, loss = 0.6485 
Training 14.70 %,Trainning accuracy = 67.999995%, loss = 0.8209 
Training 14.75 %,Trainning accuracy = 81.999993%, loss = 0.5237 
Training 14.80 %,Trainning accuracy = 68.000001%, loss = 0.8291 
Training 14.85 %,Trainning accuracy = 74.000001%, loss = 1.0773 
Training 14.90 %,Trainning accuracy = 79.999995%, loss = 0.6269 
Training 14.95 %,Trainning accuracy = 74.000001%, loss = 0.8812 
Training 15.00 %,Trainning accuracy = 80.000001%, loss = 0.6435 
Training 15.05 %,Trainning accuracy = 81.999999%, loss = 0.6062 
Training 15.10 %,Trainning accuracy = 72.000003%, loss = 0.8287 
Training 15.15 %,Trainning accuracy = 71.999997%, loss = 0.6564 
Training 15.20 %,Trainning accuracy = 75.999999%, loss = 0.8807 
Training 15.25 %,Trainning accuracy = 82.000005%, loss = 0.5062 
Training 15.30 %,Trainning accuracy = 75.999999%, loss = 0.8256 
Training 15.35 %,Trainning accuracy = 69.999999%, loss = 0.8651 
Training 15.40 %,Trainning accuracy = 79.999995%, loss = 0.6208 
Training 15.45 %,Trainning accuracy = 72.000003%, loss = 0.6940 
Training 15.50 %,Trainning accuracy = 77.999997%, loss = 0.6537 
Training 15.55 %,Trainning accuracy = 69.999999%, loss = 0.7571 
Training 15.60 %,Trainning accuracy = 71.999997%, loss = 0.5581 
Training 15.65 %,Trainning accuracy = 81.999993%, loss = 0.5170 
Training 15.70 %,Trainning accuracy = 75.999999%, loss = 0.6486 
Training 15.75 %,Trainning accuracy = 67.999995%, loss = 1.0660 
Training 15.80 %,Trainning accuracy = 59.999996%, loss = 1.0056 
Training 15.85 %,Trainning accuracy = 74.000001%, loss = 0.7190 
Training 15.90 %,Trainning accuracy = 79.999995%, loss = 0.5766 
Training 15.95 %,Trainning accuracy = 74.000001%, loss = 0.8353 
Training 16.00 %,Trainning accuracy = 74.000001%, loss = 0.7500 
Training 16.05 %,Trainning accuracy = 65.999997%, loss = 0.8645 
Training 16.10 %,Trainning accuracy = 75.999999%, loss = 0.7970 
Training 16.15 %,Trainning accuracy = 70.000005%, loss = 0.7517 
Training 16.20 %,Trainning accuracy = 75.999999%, loss = 0.6999 
Training 16.25 %,Trainning accuracy = 74.000001%, loss = 0.6753 
Training 16.30 %,Trainning accuracy = 81.999999%, loss = 0.6218 
Training 16.35 %,Trainning accuracy = 83.999997%, loss = 0.4972 
Training 16.40 %,Trainning accuracy = 83.999997%, loss = 0.5794 
Training 16.45 %,Trainning accuracy = 79.999995%, loss = 0.6244 
Training 16.50 %,Trainning accuracy = 79.999995%, loss = 0.4736 
Training 16.55 %,Trainning accuracy = 71.999997%, loss = 0.6438 
Training 16.60 %,Trainning accuracy = 80.000001%, loss = 0.6350 
Training 16.65 %,Trainning accuracy = 73.999995%, loss = 0.6234 
Training 16.70 %,Trainning accuracy = 69.999999%, loss = 0.6943 
Training 16.75 %,Trainning accuracy = 74.000001%, loss = 0.6338 
Training 16.80 %,Trainning accuracy = 77.999997%, loss = 0.7869 
Training 16.85 %,Trainning accuracy = 69.999999%, loss = 0.7391 
Training 16.90 %,Trainning accuracy = 74.000001%, loss = 0.6228 
Training 16.95 %,Trainning accuracy = 77.999997%, loss = 0.6771 
Training 17.00 %,Trainning accuracy = 63.999999%, loss = 0.8553 
Training 17.05 %,Trainning accuracy = 79.999995%, loss = 0.5594 
Training 17.10 %,Trainning accuracy = 75.999999%, loss = 0.7165 
Training 17.15 %,Trainning accuracy = 63.999999%, loss = 0.8365 
Training 17.20 %,Trainning accuracy = 80.000001%, loss = 0.6653 
Training 17.25 %,Trainning accuracy = 81.999999%, loss = 0.5984 
Training 17.30 %,Trainning accuracy = 60.000002%, loss = 0.8987 
Training 17.35 %,Trainning accuracy = 79.999995%, loss = 0.6356 
Training 17.40 %,Trainning accuracy = 72.000003%, loss = 0.7028 
Training 17.45 %,Trainning accuracy = 79.999995%, loss = 0.6196 
Training 17.50 %,Trainning accuracy = 75.999999%, loss = 0.5958 
Training 17.55 %,Trainning accuracy = 67.999995%, loss = 0.8015 
Training 17.60 %,Trainning accuracy = 71.999997%, loss = 0.6208 
Training 17.65 %,Trainning accuracy = 79.999995%, loss = 0.5193 
Training 17.70 %,Trainning accuracy = 74.000001%, loss = 0.6323 
Training 17.75 %,Trainning accuracy = 75.999999%, loss = 0.6741 
Training 17.80 %,Trainning accuracy = 78.000003%, loss = 0.8296 
Training 17.85 %,Trainning accuracy = 77.999997%, loss = 0.6393 
Training 17.90 %,Trainning accuracy = 81.999999%, loss = 0.5982 
Training 17.95 %,Trainning accuracy = 81.999999%, loss = 0.5633 
Training 18.00 %,Trainning accuracy = 83.999997%, loss = 0.4171 
Training 18.05 %,Trainning accuracy = 77.999997%, loss = 0.6782 
Training 18.10 %,Trainning accuracy = 74.000001%, loss = 0.6760 
Training 18.15 %,Trainning accuracy = 77.999997%, loss = 0.7490 
Training 18.20 %,Trainning accuracy = 79.999995%, loss = 0.6159 
Training 18.25 %,Trainning accuracy = 74.000001%, loss = 0.8083 
Training 18.30 %,Trainning accuracy = 77.999997%, loss = 0.6205 
Training 18.35 %,Trainning accuracy = 83.999997%, loss = 0.4659 
Training 18.40 %,Trainning accuracy = 88.000000%, loss = 0.5403 
Training 18.45 %,Trainning accuracy = 59.999996%, loss = 0.8342 
Training 18.50 %,Trainning accuracy = 77.999997%, loss = 0.6311 
Training 18.55 %,Trainning accuracy = 84.000003%, loss = 0.6295 
Training 18.60 %,Trainning accuracy = 86.000001%, loss = 0.5388 
Training 18.65 %,Trainning accuracy = 84.000003%, loss = 0.4530 
Training 18.70 %,Trainning accuracy = 77.999997%, loss = 0.6056 
Training 18.75 %,Trainning accuracy = 85.999995%, loss = 0.4501 
Training 18.80 %,Trainning accuracy = 80.000001%, loss = 0.4845 
Training 18.85 %,Trainning accuracy = 81.999999%, loss = 0.6058 
Training 18.90 %,Trainning accuracy = 79.999995%, loss = 0.5813 
Training 18.95 %,Trainning accuracy = 80.000001%, loss = 0.6768 
Training 19.00 %,Trainning accuracy = 75.999999%, loss = 0.6571 
Training 19.05 %,Trainning accuracy = 86.000001%, loss = 0.5140 
Training 19.10 %,Trainning accuracy = 85.999995%, loss = 0.4796 
Training 19.15 %,Trainning accuracy = 73.999995%, loss = 0.8396 
Training 19.20 %,Trainning accuracy = 90.000004%, loss = 0.4427 
Training 19.25 %,Trainning accuracy = 79.999995%, loss = 0.5686 
Training 19.30 %,Trainning accuracy = 83.999997%, loss = 0.4919 
Training 19.35 %,Trainning accuracy = 67.999995%, loss = 1.0233 
Training 19.40 %,Trainning accuracy = 79.999995%, loss = 0.4686 
Training 19.45 %,Trainning accuracy = 63.999999%, loss = 0.8448 
Training 19.50 %,Trainning accuracy = 71.999997%, loss = 0.7022 
Training 19.55 %,Trainning accuracy = 81.999999%, loss = 0.4988 
Training 19.60 %,Trainning accuracy = 77.999997%, loss = 0.5550 
Training 19.65 %,Trainning accuracy = 81.999993%, loss = 0.3875 
Training 19.70 %,Trainning accuracy = 91.999996%, loss = 0.2663 
Training 19.75 %,Trainning accuracy = 79.999995%, loss = 0.5755 
Training 19.80 %,Trainning accuracy = 86.000001%, loss = 0.4489 
Training 19.85 %,Trainning accuracy = 83.999997%, loss = 0.4098 
Training 19.90 %,Trainning accuracy = 77.999997%, loss = 0.5813 
